"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Corynorhinus (=Plecotus) townsendii virginianus","Virginia big-eared bat","Wherever found","5","Endangered","Mammals"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
"Phoxinus cumberlandensis","Blackside dace","Wherever found","4","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Etheostoma chienense","Relict darter","Wherever found","4","Threatened","Fishes"
"Villosa trabalis","Cumberland bean (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Epioblasma obliquata","Purple Cat's paw (=Purple Cat's paw pearlymussel)","Wherever found; Except where listed as Experimental Populations","3","Endangered","Clams"
"Theliderma intermedia","Cumberland monkeyface (pearlymussel)","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Dromus dromas","Dromedary pearlymussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Pegias fabula","Littlewing pearlymussel","Wherever found","4","Endangered","Clams"
"Fusconaia cuneolus","Finerayed pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Pleurobema plenum","Rough pigtoe","Wherever found","4","Endangered","Clams"
"Fusconaia cor","Shiny pigtoe","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Plethobasus cooperianus","Orangefoot pimpleback (pearlymussel)","Wherever found","4","Endangered","Clams"
"Obovaria retusa","Ring pink (mussel)","Wherever found","4","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Epioblasma florentina walkeri (=E. walkeri)","Tan riffleshell","Wherever found","4","Endangered","Clams"
"Pleurobema clava","Clubshell","Wherever found; Except where listed as Experimental Populations","5","Endangered","Clams"
"Epioblasma brevidens","Cumberlandian combshell","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Alasmidonta atropurpurea","Cumberland elktoe","Wherever found","4","Endangered","Clams"
"Epioblasma capsaeformis","Oyster mussel","Wherever found; Except where listed as Experimental Populations","4","Endangered","Clams"
"Cyprogenia stegaria","Fanshell","Wherever found","4","Endangered","Clams"
"Epioblasma rangiana","Northern riffleshell","Wherever found","5","Endangered","Clams"
"Palaemonias ganteri","Kentucky cave shrimp","Wherever found","4","Endangered","Crustaceans"
"Apios priceana","Price''s potato-bean","","4","Threatened","Flowering Plants"
"Arabis perstellata","Braun's rock-cress","Wherever found","4","Endangered","Flowering Plants"
"Conradina verticillata","Cumberland rosemary","Wherever found","4","Threatened","Flowering Plants"
"Isotria medeoloides","Small whorled pogonia","","5","Threatened","Flowering Plants"
"Solidago shortii","Short's goldenrod","Wherever found","4","Endangered","Flowering Plants"
"Spiraea virginiana","Virginia spiraea","Wherever found","5","Threatened","Flowering Plants"
"Platanthera integrilabia","White fringeless orchid","","4","Threatened","Flowering Plants"
"Ptychobranchus subtentus","Fluted kidneyshell","Wherever found","4","Endangered","Clams"
"Physaria globosa","Short's bladderpod","Wherever found","4","Endangered","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Cambarus callainus","Big Sandy crayfish","Wherever found","5","Threatened","Crustaceans"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Etheostoma susanae","Cumberland darter","Wherever found","4","Endangered","Fishes"
"Villosa fabalis","Rayed Bean","Wherever found","3","Endangered","Clams"
"Pleuronaia dolabelloides","Slabside Pearlymussel","Wherever found","4","Endangered","Clams"
"Leavenworthia exigua laciniata","Kentucky glade cress","Wherever found","4","Threatened","Flowering Plants"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Endangered","Mammals"
"Etheostoma spilotum","Kentucky arrow darter","Wherever found","4","Threatened","Fishes"
"Obovaria subrotunda","Round hickorynut","Wherever found","3","Threatened","Clams"
"Fusconaia subrotunda","Longsolid","Wherever found","4","Threatened","Clams"
