"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Grus americana","Whooping crane","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Graptemys oculifera","Ringed map turtle","Wherever found","4","Threatened","Reptiles"
"Gopherus polyphemus","Gopher tortoise","Western DPS","4","Threatened","Reptiles"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Potamilus inflatus","Inflated heelsplitter","Wherever found","4","Threatened","Clams"
"Margaritifera hembeli","Louisiana pearlshell","Wherever found","4","Threatened","Clams"
"Geocarpon minimum","No common name","Wherever found","4","Threatened","Flowering Plants"
"Schwalbea americana","American chaffseed","Wherever found","4","Endangered","Flowering Plants"
"Isoetes louisianensis","Louisiana quillwort","Wherever found","4","Endangered","Ferns and Allies"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Pituophis ruthveni","Louisiana pinesnake","Wherever found","4","Threatened","Reptiles"
"Calidris canutus rufa","rufa red knot","Wherever found","5","Threatened","Birds"
"Caretta caretta","Loggerhead sea turtle","Northwest Atlantic Ocean DPS","4","Threatened","Reptiles"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Endangered","Mammals"
"Grus americana","Whooping crane","U.S.A (Southwestern Louisiana)","2","Experimental Population, Non-Essential","Birds"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
